"id","faculty_id","start_year","title"
"670753","18719","2017","ОД11"
"-112580","18719","2016","ОД21"
"272673","18719","2015","ОД31"
"356897","18719","2015","ОД32"
"483617","18719","2016","ОД42"
"653857","18719","2017","ОИ11"
"-79300","18719","2016","ОИ21"
"273697","18719","2015","ОИ31"
"165921","18719","2014","ОИ41"
"675873","18719","2017","ОКШ11"
"-117188","18719","2016","ОКШ21"
"275745","18719","2015","ОКШ31"
"603937","18719","2017","ОМ11"
"604193","18719","2017","ОМ12"
"-119236","18719","2016","ОМ21"
"-121028","18719","2016","ОМ22"
"274977","18719","2015","ОМ31"
"275233","18719","2015","ОМ32"
"133409","18719","2014","ОМ41"
"133665","18719","2014","ОМ42"
"133921","18719","2014","ОМ43"
"604449","18719","2017","ОМп11"
"-79044","18719","2016","ОМп21"
"301601","18719","2015","ОМп31"
"620065","18719","2017","ОМТ11"
"-146116","18719","2016","ОМТ21"
"143649","18719","2014","ОМТ41"
"605473","18719","2017","ОНМ11"
"276001","18719","2015","ОНМ31"
"165409","18719","2014","ОНМ41"
"605217","18719","2017","ОТХ11"
"649249","18719","2017","ОТХ12"
"-138692","18719","2016","ОТХ21"
"277793","18719","2015","ОТХ31"
"166177","18719","2014","ОТХ41"
"672289","9759","2017","ПП11"
"-139460","9759","2016","ПП21"
"322337","9759","2015","ПП31"
"137761","9759","2014","ПП41"
"605985","9759","2017","ППп11"
"-92868","9759","2016","ППп21"
"573985","9759","2017","ПС11"
"-111044","9759","2016","ПС21"
"326945","9759","2015","ПС31"
"135457","9759","2014","ПС41"
"135713","9759","2014","ПС42"
"354081","9759","2015","ПС43"
"606497","450336","2017","ПСГ11"
"-136388","450336","2016","ПСГ21"
"305697","450336","2015","ПСГ31"
"158753","450336","2014","ПСГ41"
"651297","9759","2017","ПСМ11"
"-144068","9759","2016","ПСМ21"
"-106436","9759","2016","ПСМ22"
"327457","9759","2015","ПСМ31"
"327713","9759","2015","ПСМ32"
"134945","9759","2014","ПСМ41"
"135201","9759","2014","ПСМ42"
"607265","9759","2017","ПСп11"
"-120772","9759","2016","ПСп21"
"327201","9759","2015","ПСп31"
"669985","450336","2017","ПСС11"
"-111300","450336","2016","ПСС21"
"337697","450336","2015","ПСС32"
