academic_group_id	session_number	exam_number	teacher_id	subject_id	success_count	all_count	students_failed	group_performance	exam_index	examiner_weighted_norm	subject_weighted_norm	yp	error	a	b	t_a	t_b	group_id
143649	6	3	142368.0	4082	17	17	0	0.0	4768	0.2647058823529412	0.2647058823529412	0.19853403624310903	0.19853403624310903	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	7	1	142368.0	4082	8	17	9	0.5294117647058824	4912	0.2647058823529412	0.2647058823529412	0.19853403624310903	0.3308777284627733	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	7	2	200480.0	9030	6	17	11	0.6470588235294118	5008	0.6744186046511628	0.6470588235294118	0.4853054219275999	0.1617534016018119	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	7	3	-327392.0	9373	16	17	1	0.058823529411764705	5097	0.3333333333333333	0.058823529411764705	0.0441186747206909	0.014704854691073806	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
143649	7	4	95520.0	4184	17	17	0	0.0	5162	0.7002801120448179	0.14705882352941177	0.11029668680172725	0.11029668680172725	0.0	0.7500174702517453	0.9043056317057958	1.9390236632538975	143649
301601	1	1	89120.0	9573	3	12	9	0.75	197	0.5844155844155844	0.6129996264475158	0.8480791027001068	0.09807910270010678	2.367305807576279	0.0	4.18518070988865	-1.459490688950118	301601
301601	1	3	672288.0	2007	11	12	1	0.08333333333333333	878	0.2764227642276423	0.43648538961038963	0.28562609368612674	0.20229276035279342	2.367305807576279	0.0	4.18518070988865	-1.459490688950118	301601
301601	1	4	408864.0	2771	8	12	4	0.3333333333333333	1184	0.44516129032258067	0.6171689806975956	0.6503929815873111	0.31705964825397775	2.367305807576279	0.0	4.18518070988865	-1.459490688950118	301601
301601	2	2	408864.0	2771	11	12	1	0.08333333333333333	1769	0.44516129032258067	0.6171689806975956	0.6503929815873111	0.5670596482539777	2.367305807576279	0.0	4.18518070988865	-1.459490688950118	301601
301601	3	1	695072.0	3456	8	12	4	0.3333333333333333	2516	0.3197278911564626	0.6152647975077882	0.46569004511468864	0.13235671178135533	2.367305807576279	0.0	4.18518070988865	-1.459490688950118	301601
301601	3	2	646176.0	10173	12	12	0	0.0	2785	0.32575757575757575	0.45298165137614677	0.3493248639637467	0.3493248639637467	2.367305807576279	0.0	4.18518070988865	-1.459490688950118	301601
301601	3	3	558112.0	5735	3	12	9	0.75	3032	0.6335403726708074	0.659942363112392	0.9897708674775222	0.2397708674775222	2.367305807576279	0.0	4.18518070988865	-1.459490688950118	301601
301601	3	4	123680.0	2927	3	12	9	0.75	3188	0.6666666666666666	0.6952526799387443	1.0	0.3472504713013076	2.367305807576279	0.0	4.18518070988865	-1.459490688950118	301601
301601	4	1	23328.0	1160	3	12	9	0.75	3357	0.6852791878172588	0.6404494382022472	1.0	0.28897896476926177	2.367305807576279	0.0	4.18518070988865	-1.459490688950118	301601
301601	4	2	-45280.0	9424	10	12	2	0.16666666666666666	3543	0.43859649122807015	0.4367239732569245	0.4534470167539057	0.286780350087239	2.367305807576279	0.0	4.18518070988865	-1.459490688950118	301601
301601	5	2	83232.0	5353	7	12	5	0.4166666666666667	4212	0.5862068965517241	0.4166666666666667	0.5782212461034014	0.16155457943673474	2.367305807576279	0.0	4.18518070988865	-1.459490688950118	301601
301601	5	3	69152.0	-2508735	7	12	5	0.4166666666666667	4385	0.3620689655172414	0.4166666666666667	0.35713665200504213	0.05953001466162455	2.367305807576279	0.0	4.18518070988865	-1.459490688950118	301601
